"n_participant","n_items","prevalence_type","seed","no_of_cores","name","internal_assign","external_assign","sequential_assign","integrative_assign","guess_assign","bias1_assign","bias2_assign","total_runtime_assign","internal_refit_loo","external_refit_loo","sequential_refit_loo","integrative_refit_loo","guess_refit_loo","bias1_refit_loo","bias2_refit_loo","internal_refit_waic","external_refit_waic","sequential_refit_waic","integrative_refit_waic","guess_refit_waic","bias1_refit_waic","bias2_refit_waic","total_runtime_refit_loo","total_runtime_refit_waic"
150,60,"equal",1281,8,"Apple M1",126.091912031174,19.7153379917145,260.620826005936,150.596785068512,21.7813589572906,20.8363289833069,20.0326681137085,619.675217151642,463.553652048111,4.1980459690094,2386.59538221359,877.104304075241,3.48947191238403,0.942339181900024,0.877290964126587,30.3882911205292,2.61976194381714,66.1231460571289,23.3654901981354,2.60039377212524,1.10648894309998,1.1722149848938,3736.76048636436,127.37578701973
150,60,"equal",1282,8,"Apple M1",113.017545938492,18.741094827652,254.153805017471,143.119258880615,19.6120488643646,21.5378110408783,19.5092508792877,589.690815448761,30.9924499988556,2.54037308692932,67.9983260631561,29.1576678752899,2.96228384971619,1.0813889503479,0.910932779312134,36.3560438156128,2.43300890922546,90.3735909461975,33.6114819049835,2.62570381164551,1.05891799926758,1.29827284812927,135.643422603607,167.757020235062
150,60,"equal",1283,8,"Apple M1",110.108268976212,19.2405998706818,240.928819894791,138.107774019241,18.8985409736633,19.4238200187683,20.8562049865723,567.564028739929,33.6267378330231,3.8764979839325,64.5583779811859,18.8597419261932,2.47197580337524,1.18956995010376,0.954699993133545,37.7413039207458,3.67428588867188,63.8984777927399,22.2246489524841,2.46254706382751,1.10951590538025,1.21144413948059,125.537601470947,132.32222366333
300,60,"equal",1234,4,"AMD EPYC 9B45",250.392339706421,54.9949822425842,496.300775766373,342.587339401245,49.7081112861633,48.603935956955,49.4827899932861,1292.07027435303,62.0792336463928,5.55438542366028,106.979561567307,53.2465155124664,6.18640542030334,1.71452975273132,1.7720742225647,59.3032138347626,5.37355899810791,118.666109085083,52.279974937439,6.61615419387817,1.77082204818726,1.89925765991211,237.532705545425,245.90909075737
300,60,"equal",1235,4,"AMD EPYC 9B45",239.483329296112,52.7236523628235,468.697556495667,312.322010755539,45.7279419898987,47.8247509002686,48.6291279792786,1215.40836977959,64.2910823822021,6.27381420135498,110.894563436508,41.5971150398254,4.96848583221436,2.69465899467468,1.30256915092468,57.9198007583618,5.47767186164856,129.323271989822,47.8026485443115,5.38349962234497,2.58476400375366,2.27461576461792,232.022289037704,250.766272544861
300,60,"equal",1236,4,"AMD EPYC 9B45",238.16956782341,51.8816616535187,478.486613988876,326.135849952698,47.2855904102325,47.4701972007751,48.5338830947876,1237.9633641243,52.7731425762177,6.56059455871582,119.173163890839,51.1797003746033,5.66167688369751,1.22003436088562,1.77144289016724,54.3068327903748,5.71925210952759,154.472645759583,51.645325422287,6.36609244346619,1.52957201004028,2.17486310005188,238.339755535126,276.21458363533
300,60,"equal",1237,4,"AMD EPYC 9B45",236.037615060806,51.555335521698,471.403863430023,316.052134513855,47.1230466365814,46.3403503894806,47.9616963863373,1216.47404193878,49.6364476680756,7.0820529460907,101.995632171631,76.9385180473328,4.86937046051025,1.07544255256653,1.31172227859497,54.7596328258514,6.7575306892395,116.787734508514,67.2239375114441,5.02169179916382,0,1.90905094146729,242.909186124802,252.459578275681
300,60,"equal",1238,4,"AMD EPYC 9B45",234.046650886536,49.6215097904205,469.757853269577,320.027830123901,45.8561317920685,47.2455186843872,47.625899553299,1214.18139410019,50.16468501091,6.84118127822876,111.777294397354,61.6546750068665,5.09563255310059,1.44342517852783,1.42665338516235,51.3211178779602,6.56907534599304,120.070780992508,62.794780254364,5.72365212440491,2.13097667694092,2.05621433258057,238.40354681015,250.666597604752
300,60,"equal",1239,4,"AMD EPYC 9B45",237.050329208374,51.4517538547516,479.444840669632,324.295637130737,46.8170170783997,47.6492722034454,47.4355990886688,1234.14444923401,58.8408737182617,4.51685428619385,123.568882465363,52.4372084140778,6.80789065361023,1.24341440200806,1.66277313232422,58.7989232540131,4.87899160385132,126.654024124146,50.8705415725708,7.1778838634491,1.54598879814148,1.94307732582092,249.077897071838,251.869430541992
300,60,"equal",1240,4,"AMD EPYC 9B45",245.640177965164,54.3244345188141,483.883019447327,335.402520656586,51.2701556682587,50.3454897403717,50.8137905597687,1271.67958855629,50.3623435497284,6.44188404083252,136.595063924789,67.1451206207275,4.63802194595337,1.3307044506073,1.53266978263855,60.33327460289,6.89835643768311,120.853226423264,69.4268703460693,4.57868218421936,1.73385834693909,1.73661422729492,268.045808315277,265.560882568359
