"n_items","n_participants","prevalence","method","seed","accuracy","precision","recall","f1"
120,150,"equal","hbi","1238",0.773333333333333,0.819866408101702,0.750104427736007,0.743376623376623
120,150,"extreme","bf_ps","1238",0.886666666666667,0.868693134822167,0.755555555555556,0.767987586510532
120,150,"extreme","psis","1238",0.68,0.7056821779044,0.435431063070815,0.499741711280173
120,150,"extreme","waic","1238",0.693333333333333,0.711073629851741,0.440403144129852,0.504448100564446
120,150,"extreme","hbi","1238",0.86,0.832922275293096,0.725534851621808,0.728993470297818
60,300,"equal","bf_ps","1238",0.853333333333333,0.896938775510204,0.845338311699998,0.852028684683721
60,300,"equal","psis","1238",0.54,0.711904761904762,0.546675950761132,0.498888134497029
60,300,"equal","waic","1238",0.546666666666667,0.713866949996772,0.552574903828942,0.509110663373964
60,300,"equal","hbi","1238",0.766666666666667,0.777804780448765,0.749217226109381,0.728436843101777
60,300,"extreme","bf_ps","1238",0.91,0.870000889947698,0.830564727174897,0.845708146309939
60,300,"extreme","psis","1238",0.753333333333333,0.762175425725846,0.535706424326279,0.597559079748622
60,300,"extreme","waic","1238",0.716666666666667,0.707087878006119,0.493223483538254,0.538770327645598
60,300,"extreme","hbi","1238",0.836666666666667,0.710968203567649,0.732399400438141,0.826314959788248
120,300,"equal","bf_ps","1238",0.836666666666667,0.889278897556385,0.830691834922827,0.833588364843064
120,300,"equal","psis","1238",0.516666666666667,0.708240941979974,0.530438685787816,0.48548284454402
120,300,"equal","waic","1238",0.53,0.704351232656072,0.539438220304737,0.513977212239544
120,300,"equal","hbi","1238",0.793333333333333,0.851230344000953,0.78783594716093,0.780832780297086
120,300,"extreme","bf_ps","1238",0.906666666666667,0.868542758493463,0.829341334192697,0.834754764463951
120,300,"extreme","psis","1238",0.73,0.690387763497007,0.519227325482487,0.664047121591505
120,300,"extreme","waic","1238",0.716666666666667,0.675855288934759,0.500930333197055,0.635864699101572
120,300,"extreme","hbi","1238",0.853333333333333,0.840994926398653,0.77409539579234,0.761140429375929
60,150,"equal","bf_ps","1239",0.813333333333333,0.840714285714286,0.804814471243043,0.80521275021275
60,150,"equal","psis","1239",0.573333333333333,0.73188727648658,0.59243351886209,0.536730168785918
60,150,"equal","waic","1239",0.52,0.69593864981603,0.53069573283859,0.482262374272885
60,150,"equal","hbi","1239",0.733333333333333,0.808540160250147,0.709392393320965,0.688993131200344
60,150,"extreme","bf_ps","1239",0.846666666666667,0.856028368794326,0.758503401360544,0.764347777559404
60,150,"extreme","psis","1239",0.713333333333333,0.615509015509015,0.471176401595121,0.61176679740886
60,150,"extreme","waic","1239",0.7,0.592794871794872,0.443965517241379,0.579985829923659
60,150,"extreme","hbi","1239",0.813333333333333,0.854865424430642,0.751026272577997,0.733984971956541
120,150,"equal","bf_ps","1239",0.846666666666667,0.875178789464504,0.834446505875077,0.834999451872517
120,150,"equal","psis","1239",0.586666666666667,0.714730122818358,0.601476954418131,0.582458319662964
120,150,"equal","waic","1239",0.62,0.73083464958465,0.616192840772673,0.607196284306706
120,150,"equal","hbi","1239",0.726666666666667,0.669179894179894,0.701445123503947,0.786274092970522
120,150,"extreme","bf_ps","1239",0.906666666666667,0.884873949579832,0.86309067688378,0.868319919736526
120,150,"extreme","psis","1239",0.773333333333333,0.764342114656957,0.670808246670316,0.759939960338764
120,150,"extreme","waic","1239",0.773333333333333,0.764765017117958,0.644353220215289,0.742561567561568
120,150,"extreme","hbi","1239",0.806666666666667,0.841294261294261,0.78917168399927,0.760626656792985
60,300,"equal","bf_ps","1239",0.846666666666667,0.875961201061381,0.827680156727676,0.832258884485667
60,300,"equal","psis","1239",0.523333333333333,0.696231497764501,0.543365134238317,0.483648905987021
60,300,"equal","waic","1239",0.516666666666667,0.692254604105594,0.533640751328184,0.467016276887739
